latitude,longitude,near_highway,near_mall,near_river,near_mountain
13.0648426,77.5993429,True,False,True,False
12.9138348,77.6775268,True,False,True,False
12.96218,77.6635462,True,False,True,False
12.8591407,77.5284991,True,False,True,False
13.068322,77.591006,True,False,True,False
12.9946631,77.5747183,True,True,True,False
12.7764978,77.6326204,True,False,True,False
12.8565317,77.5877237,True,False,True,False
12.9140082,77.607945,True,True,True,False
12.9558969,77.7405826,True,False,True,False
13.0027353,77.5703253,True,True,True,False
12.9709537,77.5373851,True,False,True,False
12.982522,77.7605253,True,False,True,True
13.0344453,77.6766779,False,False,True,False
13.142344,77.7339688,True,False,True,False
12.9771534,77.5800313,True,True,True,False
12.9162546,77.5891812,True,False,True,False
13.0638109,77.5717581,True,False,True,False
13.0837692,77.5860438,True,False,True,False
12.9636169,77.7342959,True,False,True,False
12.9694037,77.5870258,True,True,True,False
13.0880852,77.4949031,True,False,True,False
12.8509089,77.5986785,True,False,True,False
12.8930758,77.5961351,True,True,True,False
13.1403482,77.671269,True,False,True,False
12.8889126,77.6555716,True,False,True,False
13.0133522,77.6497417,True,False,True,False
12.969649,77.5023618,True,False,True,False
12.9921738,77.591459,True,True,True,False
13.0042369,77.6170601,True,False,True,False
12.9121916,77.5476337,True,False,True,True
12.9351457,77.7047541,True,False,True,False
12.9377243,77.7280705,True,False,True,False
12.8686664,77.6441741,True,False,True,False
13.0850788,77.6263539,True,False,True,False
12.864332,77.5879452,True,False,True,False
12.8802088,77.6658442,True,False,True,False
12.8699226,77.6272278,True,False,True,False
12.8160161,77.6892217,True,False,True,False
13.015119,77.7094485,True,False,True,False
13.1051471,77.5714776,True,False,True,False
13.0548302,77.5155741,True,False,True,False
13.0302592,77.6935252,True,False,True,False
12.8226963,77.6495447,False,False,True,False
12.9829907,77.5744995,True,True,True,False
12.9091524,77.6438684,True,False,True,False
12.8089587,77.5097006,True,False,True,False
12.8701259,77.5820178,True,False,True,False
12.915939,77.4932278,True,False,True,False
13.0978927,77.62596,True,False,True,False
12.8601269,77.6053051,True,False,True,True
15.3508066,75.1420273,False,False,False,False
13.0805925,77.6291328,True,False,True,False
13.0222132,77.5781101,True,False,True,False
13.1150894,77.5679972,True,False,True,False
13.0360109,77.5695288,True,False,True,False
13.0304962,77.6860657,False,False,True,False
12.9947771,77.676929,True,False,True,False
12.9451006,77.651534,True,False,True,False
12.9440234,77.6088867,True,True,True,False
12.9070833,77.6351607,True,False,True,False
12.9107357,77.5829631,True,False,True,False
12.9845768,77.6131984,True,True,True,False
13.0047061,77.5449492,True,False,True,True
12.9450536,77.5586486,True,False,True,False
13.0176937,77.5555009,True,False,True,True
13.0113153,77.5446972,True,False,True,True
12.9746062,77.6756305,True,False,True,False
12.9584184,77.5629161,True,False,True,False
12.9093675,77.6407794,True,False,True,False
12.9867445,77.7337049,True,False,True,False
13.0082113,77.652778,True,False,True,False
12.8931539,77.6219724,True,False,True,False
12.8415946,77.6479125,False,False,True,False
12.9208486,77.6636577,True,False,True,False
12.9873426,77.7538033,True,False,True,True
12.9848621,77.7559192,True,False,True,True
12.8994357,77.6524573,True,False,True,False
12.8856635,77.5416809,True,False,True,True
13.0588586,77.6232576,True,False,True,False
12.931045,77.6098888,True,True,True,False
12.7981134,77.5843744,True,False,True,False
13.0645394,77.6058512,True,False,True,False
12.9228378,77.7188315,True,False,True,False
12.9004224,77.4871294,True,False,True,True
12.9722287,77.5986661,True,True,True,False
12.8615644,77.5296769,True,False,True,False
12.9905037,77.7141324,True,False,True,False
12.9945223,77.5543647,True,True,True,True
12.898075,77.6452717,True,False,True,False
13.0059276,77.6594682,True,False,True,False
13.00317,77.6326118,True,False,True,False
13.0395699,77.6073304,True,False,True,False
12.9087963,77.6516734,True,False,True,False
12.9845259,77.5880134,True,True,True,False
12.8966996,77.6124269,True,True,True,False
12.9727668,77.6013071,True,True,True,False
13.0110193,77.5808641,True,True,True,False
12.9503678,77.546999,True,False,True,False
12.9599648,77.6503055,True,False,True,False
12.9870881,77.5949569,True,True,True,False
12.9755264,77.6067902,True,True,True,False
12.9989822,77.7408733,True,False,True,False
13.0806284,77.5528959,True,False,True,False
12.9937572,77.5391325,True,False,True,False
12.8742536,77.6260073,True,False,True,False
12.9656579,77.6142682,True,True,True,False
12.9877574,77.5378544,True,False,True,False
12.9767936,77.590082,True,True,True,False
12.8902062,77.6813108,False,False,True,False
12.9484488,77.5514971,True,False,True,False
12.9547872,77.7213154,True,True,True,False
12.9278968,77.5622171,True,False,True,False
12.9483382,77.5527644,True,False,True,False
12.8777098,77.7534769,True,False,True,False
13.045979,77.5222447,True,False,True,False
12.9413253,77.5212118,True,False,True,False
12.9605997,77.6401168,True,False,True,False
12.9912345,77.4870119,True,False,True,False
13.0506091,77.6212545,True,False,True,False
12.972681,77.5356957,True,False,True,False
13.0621474,77.5800614,True,False,True,False
13.063945,77.6335951,True,False,True,False
13.0222071,77.6319093,True,False,True,False
12.999489,77.5843469,True,True,True,False
12.9010682,77.5859397,True,True,True,False
13.0657041,77.4425319,True,False,True,False
13.0935051,77.5279929,True,False,True,False
12.9064203,77.6835161,True,False,True,False
12.9209772,77.7361016,True,False,True,False
13.0196883,77.4889451,True,False,True,False
12.9140788,77.6188862,True,True,True,False
12.9849379,77.7509365,True,False,True,True
13.1042269,77.4730361,True,False,True,False
12.9829027,77.7610972,True,False,True,True
12.9627471,77.6610345,True,False,True,False
12.9883249,77.6004488,True,True,True,False
12.9523859,77.6152058,True,True,True,False
12.9930575,77.6590555,True,False,True,False
12.9599794,77.4821948,True,False,True,False
12.8303925,77.5866537,True,False,True,False
12.9427346,77.558378,True,False,True,False
12.8003482,77.7630096,True,False,True,False
12.9457868,77.5706743,True,False,True,False
12.9650246,77.5700688,True,True,True,False
12.9959881,77.6014036,True,True,True,False
13.040022,77.6796248,False,False,True,False
13.12345,77.5752576,True,False,True,False
12.929217,77.549692,True,False,True,True
13.0720352,77.6333905,True,False,True,False
12.977594,77.7155586,True,False,True,False
12.965082,77.5982568,True,True,True,False
12.9959987,77.6578762,True,False,True,False
12.9578934,77.5464445,True,False,True,False
12.8761073,77.5961821,True,True,True,True
12.985503,77.485068,True,False,True,False
12.920456,77.6444991,True,False,True,False
13.0061898,77.7002059,True,False,True,False
13.0141515,77.6340564,True,False,True,False
12.8359685,77.6571728,True,False,True,False
12.993111,77.6666772,True,False,True,False
13.0064742,77.7504155,True,False,True,False
12.7930947,77.7000382,True,False,True,False
12.8881819,77.7292185,True,False,True,False
12.9520466,77.5370399,True,False,True,False
13.0318443,77.7618779,True,False,True,False
13.0677872,77.5445642,True,False,True,False
12.9584549,77.5808236,True,False,True,False
12.8364852,77.7260023,False,False,True,False
13.1398615,77.6230512,True,False,True,False
12.9933277,77.7220587,True,False,True,False
12.9459464,77.5409354,True,False,True,False
13.0645499,77.5275223,False,False,True,False
12.9951556,77.5022163,True,False,True,False
12.9253801,77.5499916,True,False,True,True
12.8528618,77.668169,True,False,True,False
13.0203359,77.5924292,True,False,True,False
13.0079918,77.6184726,True,False,True,False
12.9160293,77.497544,True,False,True,False
12.9706228,77.5553763,True,False,True,False
12.8137512,77.6953367,True,False,True,False
13.0368275,77.4882249,True,False,True,False
13.0546471,77.596317,True,False,True,False
12.8463294,77.679328,True,False,True,False
13.0550002,77.4789572,True,False,True,False
12.9289702,77.5839921,True,False,True,False
12.927699,77.6409796,True,False,True,False
12.9004719,77.6330038,True,False,True,False
12.943102,77.6556269,True,False,True,False
12.8829572,77.6500831,True,False,True,False
12.8114519,77.6603094,False,False,True,False
12.8525678,77.6436309,True,False,True,False
12.961396,77.4833965,True,False,True,False
12.9204015,77.6067432,True,True,True,False
12.8601312,77.5540587,True,False,True,False
13.0093485,77.7108379,True,False,True,False
12.9798772,77.5286425,True,False,True,False
12.9137089,77.6135724,True,True,True,False
13.0164987,77.6344298,True,False,True,False
13.032117,77.6363075,True,False,True,False
12.9396583,77.6288969,True,True,True,False
12.9732141,77.6820532,True,False,True,False
12.9746886,77.5310295,True,False,True,False
12.9693737,77.7416702,True,False,True,True
12.9393328,77.5539819,True,False,True,False
12.9256914,77.615365,True,True,True,False
13.0314059,77.6355596,True,False,True,False
12.8342646,77.6696262,True,False,True,False
12.9228686,77.7169652,True,False,True,False
13.0716969,77.6193949,True,False,True,False
12.9110032,77.5788747,True,False,True,False
