city,locality,geo_lat,geo_lon
Bangalore,Kalyan Nagar,13.0221416,77.6403368
Bangalore,Doddathoguru,12.8505644,77.6466948
Bangalore,Cooke Town,13.0021998,77.6251814
Bangalore,Nagarbhavi,12.9512353,77.519054
Bangalore,Bilekahalli,12.9046331,77.6070945
Bangalore,HAL,12.9565103,77.6759082
Bangalore,Abbigere,13.0784176,77.5245316
Bangalore,Yemalur,12.9454643,77.6805505
Bangalore,Kengeri,12.9176571,77.4837568
Bangalore,Budigere Cross,13.0462134,77.7504125
Bangalore,Lingarajapuram,13.0093949,77.6267881
Bangalore,Cox Town,12.9934858,77.6251081
Bangalore,Kammanahalli,13.0148544,77.6382029
Bangalore,Benson Town,12.997343,77.6036815
Bangalore,Koralur,,
Bangalore,Rayasandra,12.8795774,77.6719842
Bangalore,Ganganagar,13.0275463,77.5905718
Bangalore,Chandra Layout Extension,,
Bangalore,Ramamurthy Nagar,13.0120218,77.6777817
Bangalore,Subramanyapura,12.8992578,77.5321721
Bangalore,Sarjapur Road Wipro To Railway Crossing,,
Bangalore,JP Nagar Phase 7,12.9096941,77.5866067
Bangalore,HSR Layout,12.9116225,77.6388622
Bangalore,Kaval Byrasandra,13.0200235,77.6092887
Bangalore,Hoodi,12.9959233,77.7192796
Bangalore,Domlur,12.9624669,77.6381958
Bangalore,JP Nagar Phase 6,12.9096941,77.5866067
Bangalore,NRI Layout,13.0271999,77.6792114
Bangalore,Kumbalgodu,,
Bangalore,Marathahalli,12.9552572,77.6984163
Bangalore,Kodigehalli,13.0031666,77.7272835
Bangalore,Yeshwantpur,13.0221838,77.5530824
Bangalore,Arakere,12.8854515,77.6034249
Bangalore,Electronic City Phase 2,12.8468545,77.6769267
Bangalore,Devinagar,13.0475147,77.5709945
Bangalore,Akshayanagar,12.8750432,77.6164914
Bangalore,Kartik Nagar,12.9783896,77.637303
Bangalore,Sarjapur Road Till Wipro,,
Bangalore,Basaveswarnagar,,
Bangalore,Marsur,12.7678915,77.7043732
Bangalore,Kumaraswamy Layout,12.9150398,77.5678879
Bangalore,Horamavu,13.0273312,77.6601508
Bangalore,Sarvagnanagar,12.9954832,77.6239259
Bangalore,Nelamangala,13.0979667,77.3945591
Bangalore,Jayanagar,12.9292731,77.5824229
Bangalore,Doddanekundi,12.9713194,77.6964768
Bangalore,Kasturi Nagar,13.0015277,77.6512362
Bangalore,Byrathi,13.0578901,77.6721894
